reference	primerset	lstart	lend	rstart	rend
mpx	ortho	83196	83215	83661	83680
mpx	mpx	159434	159450	159823	159839
hav	hav	2793	2820	3300	3326
havIII	havIII	2696	2723	3209	3229
havI	havI	2792	2819	3299	3322
kunjin	flavi	8947	8969	9184	9209
mev	mev	1208	1228	1716	1736
hh3	hh3_1	105964	105983	106212	106231
hh3	hh3_2	123528	123547	123776	123795
